Temperature,Pressure,Density,Speed,Conductivity,Enthalpy,Entropy,Viscosity,InternalE,Cp,Cv,CpMCv,
166,250000,0.3645519981870459,1028.110960586098,0.10269746530822896,2721784.759318608,40894.46571029344,5.92722751917751e-06,2036011.5328847314,11837.624529371746,7692.7739947269465,4144.850534644799,
167,250000,0.3623672942234719,1030.5740368916431,0.10336166337901045,2733635.519441071,40965.641581745185,5.952222058544582e-06,2043727.7822226926,11863.896786876938,7719.335546848747,4144.561240028191,
168,250000,0.36020869354675833,1033.028108661515,0.1040272148722176,2745512.553809662,41036.54938218653,5.977164346807127e-06,2051470.4485565203,11890.171800378766,7745.894328374596,4144.277472004171,
169,250000,0.35807572971553736,1035.4734381573626,0.1046940304786595,2757415.86154015,41107.19228827117,6.002054866591324e-06,2059239.5282871402,11916.442313032956,7772.443221566306,4143.99909146665,
170,250000,0.35596794736998694,1037.9102806320232,0.10536202141993561,2769345.434562612,41177.57337803376,6.026894093303471e-06,2067035.0106978004,11942.701210609175,7798.9752469284185,4143.725963680757,
171,250000,0.35388490190363714,1040.3388844020365,0.1060310995638266,2781301.257764952,41247.695634045405,6.051682495276321e-06,2074856.8780954587,11968.941523279867,7825.483565161583,4143.457958118284,
172,250000,0.35182615914680976,1042.7594909269296,0.10670117753285638,2793283.309138112,41317.561946486974,6.076420533911694e-06,2082705.1059539465,11995.156427180344,7851.961478879953,4143.194948300391,
173,250000,0.3497912950612117,1045.1723348946573,0.10737216880606346,2805291.559922712,41387.17511614158,6.1011086638194354e-06,2090579.6630586453,12021.339245748168,7878.402434101081,4142.936811647087,
174,250000,0.34777989544522486,1047.5776443126372,0.10804398781404664,2817325.9747569445,41456.53785730809,6.125747332952879e-06,2098480.5116524724,12047.483450850157,7904.800021516908,4142.6834293332495,
175,250000,0.3457915556494555,1049.9756406038264,0.10871655002736852,2829386.511825476,41525.6528006369,6.150336982740879e-06,2106407.607582962,12073.582663705069,7931.147977554252,4142.434686150817,
176,250000,0.34382588030212935,1052.3665387073102,0.10938977203843324,2841473.123009173,41594.522495889694,6.174878048216558e-06,2114360.900450228,12099.63065560999,7957.440185233139,4142.1904703768505,
177,250000,0.341882483043934,1054.7505471829124,0.11006357163696481,2853585.7540354743,41663.14941462451,6.199370958142825e-06,2122340.3337556366,12125.621348478531,7983.670674831343,4141.9506736471885,
178,250000,0.3399609862719313,1057.1278683193384,0.11073786787923676,2865724.344629197,41731.5359528078,6.223816135134822e-06,2130345.8450509766,12151.548815198597,8009.833624363154,4141.7151908354435,
179,250000,0.3380610208921789,1059.4986982454059,0.11141258115121426,2877888.8286636155,41799.68443335478,6.2482139957793175e-06,2138377.3660879647,12177.407279817562,8035.9233598805,4141.483919937062,
180,250000,0.3361822260807154,1061.863227043936,0.11208763322579002,2890079.134311649,41867.59710859952,6.2725649507512e-06,2146434.822967903,12203.191117562461,8061.934355604296,4141.256761958165,
100,260000,0.6305555186143007,827.5217387355843,0.06488988113237554,1990345.178757612,35143.80438928995,4.129642351295571e-06,1578010.3528687202,10536.596131243505,6342.9155715650595,4193.680559678445,
101,260000,0.6242597618362454,831.4098421339002,0.06537530615916524,2000885.6778785728,35248.685777844905,4.159705043521953e-06,1584392.3911454116,10544.479499865423,6352.386716964691,4192.092782900732,
102,260000,0.6180896200338083,835.2643578081771,0.06586188477139374,2011434.2926335605,35352.61378993631,4.1896547203972855e-06,1590783.3197706845,10552.827458662923,6362.270047587288,4190.557411075635,
103,260000,0.6120413346859773,839.0855153744449,0.06634975111302481,2021991.4877299464,35455.61156231672,4.2194930565452785e-06,1597183.578116781,10561.640182556775,6372.568021480381,4189.072161076395,
104,260000,0.6061112972399378,842.8735534301942,0.0668390369074037,2032557.7278701738,35557.70156104226,4.249221686564973e-06,1603593.6066438938,10570.917485279293,6383.282612932365,4187.634872346928,
105,260000,0.6002960416288832,846.6287200441709,0.06732987131653798,2043133.4773864488,35658.90560365035,4.278842206374641e-06,1610013.8464768084,10580.658811492975,6394.415312340206,4186.243499152769,
106,260000,0.5945922372378574,850.35127315651,0.06782238079582464,2053719.199868598,35759.24488022152,4.308356174495847e-06,1616444.73897834,10590.863230973555,6405.967127582032,4184.896103391523,
107,260000,0.5889966822863426,854.041480892149,0.06831668894465731,2064315.3577870887,35858.73997340688,4.33776511328099e-06,1622886.7253213006,10601.529434729578,6417.938586811857,4183.5908479177215,
108,260000,0.5835062975987964,857.699621790719,0.06881291635346011,2074922.4121130696,35957.41087749647,4.367070510087528e-06,1629340.2460606243,10612.655732933172,6430.32974259228,4182.325990340892,
109,260000,0.5781181207366115,861.32598495638,0.06931118044780939,2085540.8219372246,36055.27701659763,4.396273818401818e-06,1635805.7407072051,10624.240054539756,6443.140177280421,4181.099877259335,
110,260000,0.5728293004670496,864.9208701312668,0.06981159533039288,2096171.0440890125,36152.35726198711,4.425376458915298e-06,1642283.6473048439,10636.279948477491,6456.369009582166,4179.910938895326,
111,260000,0.5676370915465806,868.4845876964298,0.07031427162164919,2106813.532757851,36248.66994869522,4.454379820555588e-06,1648774.4020116508,10648.77258629072,6470.014902190201,4178.757684100518,
112,260000,0.5625388497977895,872.0174586043007,0.070819316300005,2117468.7391176154,36344.23289137629,4.483285261474917e-06,1655278.438687123,10661.714766125138,6484.076070422262,4177.638695702876,
113,260000,0.557532027460588,875.5198142468627,0.07132683254268343,2128137.110955754,36439.06339951458,4.51209410999807e-06,1661796.1884860226,10675.102917946137,6498.550291777129,4176.552626169007,
114,260000,0.5526141687999104,878.9919962638088,0.07183691956811594,2138819.0923081893,36533.178292011384,4.540807665532015e-06,1668328.0794600933,10688.933109885618,6513.434916327669,4175.498193557949,
115,260000,0.5477829059533961,882.4343562950412,0.07234967248101763,2149515.123101091,36626.59391119502,4.569427199439101e-06,1674874.5361685508,10703.201055616408,6528.7268778719745,4174.474177744433,
116,260000,0.5430359550037716,885.8472556819288,0.07286518212121164,2160225.638800494,36719.32613629235,4.597953955875747e-06,1681435.979298209,10717.902122657446,6544.422705765921,4173.479416891525,
117,260000,0.5383711122617564,889.2310651217485,0.07338353491729872,2170951.070070654,36811.39039639704,4.62638915259827e-06,1688012.8252940031,10733.031341516966,6560.518537362824,4172.512804154142,
118,260000,0.5337862507463408,892.5861642797335,0.07390481274625676,2181691.842441921,36902.80168296689,4.65473398173753e-06,1694605.4860005958,10748.583415584859,6577.010130988328,4171.573284596531,
119,260000,0.5292793168502138,895.9129413631233,0.07442909280004317,2192448.3759888476,36993.57456188034,4.682989610543899e-06,1701214.3683156737,10764.552731689628,6593.892879381546,4170.659852308082,
120,260000,0.5248483271789958,899.2117926615514,0.07495644746023675,2203221.085019155,37083.723185079245,4.711157182103985e-06,1707839.8738554674,10780.933371239305,6611.161823536132,4169.771547703173,
121,260000,0.5204913655537112,902.4831220580244,0.07548694418171381,2214010.3777740938,37173.26130182316,4.739237816030447e-06,1714482.3986329483,10797.719121869804,6628.811666877944,4168.9074549918605,
122,260000,0.5162065801666773,905.7273405146568,0.07602064538629792,2224816.6561406855,37262.20226957821,4.767232609126205e-06,1721142.332749101,10814.903489528153,6646.8367897189155,4168.066699809237,
123,260000,0.511992180881659,908.9448655371924,0.07655760836725649,2235640.315376227,37350.55906456164,4.795142636024202e-06,1727820.0600975885,10832.479710922076,6665.231263929757,4167.248446992319,
124,260000,0.5078464366697598,912.1361206222223,0.07709788520544114,2246481.7438454004,37438.34429196154,4.822968949803875e-06,1734515.9580830773,10850.440766271218,6683.988867777106,4166.451898494112,
125,260000,0.5037676731730962,915.3015346908456,0.07764152269778882,2257341.3227702747,37525.57019584955,4.8507125825853964e-06,1741230.3973534408,10868.77939229919,6703.103100873842,4165.676291425348,
126,260000,0.49975427038883624,918.441541512364,0.07818856229880274,2268219.425993375,37612.248668802924,4.878374546102678e-06,1747963.7415459645,10887.488095409255,6722.567199194168,4164.920896215087,
127,260000,0.49580466046667193,921.5565791214151,0.07873904007554411,2279116.419754006,37698.39126125095,4.905955832256087e-06,1754716.3470476877,10906.559164990276,6742.374150108165,4164.185014882111,
128,260000,0.4919173256132515,924.6470892317792,0.07929298667655552,2290032.6624779357,37784.00919055957,4.933457413645809e-06,1761488.56276991,10925.984686802913,6762.516707393377,4163.4679794095355,
129,260000,0.48809079609751993,927.7135166498837,0.07985042731504148,2300968.5045804647,37869.113349866835,4.960880244086653e-06,1768280.7299368759,10945.756556399612,6782.987406183854,4162.769150215759,
130,260000,0.4843236483513069,930.7563086908497,0.08041138176651547,2311924.288282934,37953.71431668078,4.988225259105141e-06,1775093.1818886164,10965.866492535246,6803.778577819955,4162.087914715291,
131,260000,0.48061450315986176,933.7759145997072,0.08097586438102691,2322900.347442608,38037.822361250546,5.01549337641963e-06,1781926.2438978546,10986.30605052841,6824.882364564913,4161.4236859634975,
132,260000,0.47696202393737436,936.7727849802178,0.08154388410996395,2333897.007395888,38121.44745472047,5.042685496404206e-06,1788780.2330008894,11007.066635536561,6846.2907341567625,4160.775901379799,
133,260000,0.47336491508283096,939.7473712335222,0.08211544454733571,2344914.584814744,38204.59927707627,5.069802502536996e-06,1795655.4578422967,11028.139515711126,6867.99549416698,4160.144021544145,
134,260000,0.4698219204118473,942.7001250086483,0.08269054398532669,2355953.3875762117,38287.28722489143,5.09684526183359e-06,1802552.2185332947,11049.515835201502,6889.988306139437,4159.527529062066,
135,260000,0.4663318216603842,945.6314976666935,0.08326917548382527,2367013.714644831,38369.52041888193,5.123814625266183e-06,1809470.8065235643,11071.186626979768,6912.260699485891,4158.925927493878,
136,260000,0.46289343705651487,948.5419397603149,0.08385132695353707,2378095.8559677945,38451.307711275935,5.150711428168964e-06,1816411.5044863047,11093.14282546031,6934.804085116349,4158.338740343962,
137,260000,0.45950561995663153,951.4319005299619,0.08443698125220292,2389200.092382598,38532.65769300506,5.1775364906304254e-06,1823374.5862162842,11115.375278891253,6957.609768784961,4157.765510106293,
138,260000,0.4561672575427097,954.3018274180981,0.08502611629336976,2400326.695536977,38613.578700723614,5.204290617872989e-06,1830360.3165406098,11137.874761496892,6980.66896413416,4157.2057973627325,
